Test, Nodes, Edges, Algorithm, TimeWindow, PatternFamily, PatternGroup, 123,213,133,313,233,323
datamining,7453,10748,3,600000,121132,5,11005,3,13101,6,1818,2277
datamining,7453,10748,3,600000,121212,4,1,0,8,172,6,111
datamining,7453,10748,3,600000,121122,3,3349,0,13730,800,906,113546
datamining,7453,10748,3,600000,122132,2,3418,12,3418,12,753,753
datamining,7453,10748,3,600000,124134,1,3467,11,3467,11,1750,1750
datamining,7453,10748,3,1200000,121322,8,184772,55,1138,917,134,141785
datamining,7453,10748,3,1200000,121232,7,728,3,2492,2,2266,114
datamining,7453,10748,3,1200000,121312,6,2198,59,1,727,1,1611
datamining,7453,10748,3,1200000,121132,5,20480,6,23574,3,2303,3048
datamining,7453,10748,3,1200000,121212,4,1,0,8,274,8,162
datamining,7453,10748,3,1200000,121122,3,6480,0,25881,1235,1129,192801
datamining,7453,10748,3,1200000,122132,2,4585,12,4585,12,855,855
datamining,7453,10748,3,1200000,124134,1,4663,11,4663,11,1863,1863
datamining,7453,10748,3,2400000,121322,8,359555,55,2231,1776,240,305550
datamining,7453,10748,3,2400000,121232,7,1466,3,4110,2,3021,313
datamining,7453,10748,3,2400000,121312,6,2900,59,1,1806,1,2495
datamining,7453,10748,3,2400000,121132,5,50861,6,67568,3,3527,4378
datamining,7453,10748,3,2400000,121212,4,1,0,8,368,8,209
datamining,7453,10748,3,2400000,121122,3,15463,0,55510,1771,2089,340928
datamining,7453,10748,3,2400000,122132,2,7086,12,7086,12,1077,1077
datamining,7453,10748,3,2400000,124134,1,7312,11,7312,11,2052,2052
datamining,7453,10748,3,3600000,121322,8,702566,55,4876,4220,257,657068
datamining,7453,10748,3,3600000,121232,7,3236,5,6652,2,8113,348
datamining,7453,10748,3,3600000,121312,6,6068,59,1,5153,1,5086
datamining,7453,10748,3,3600000,121132,5,106228,4,136491,5,7506,9376
datamining,7453,10748,3,3600000,121212,4,1,0,14,852,9,451
datamining,7453,10748,3,3600000,121122,3,33984,0,109552,3989,4107,788266
datamining,7453,10748,3,3600000,122132,2,9685,12,9685,12,1527,1527
datamining,7453,10748,3,3600000,124134,1,10350,11,10350,11,2890,2890
itsecurity,8671,13652,3,1000,121322,8,764,0,22,5,2,1083
itsecurity,8671,13652,3,1000,121232,7,54,1,5,0,12,3
itsecurity,8671,13652,3,1000,121312,6,6,0,0,25,0,6
itsecurity,8671,13652,3,1000,121132,5,62,2,39,0,166,170
itsecurity,8671,13652,3,1000,121212,4,0,0,0,0,1,0
itsecurity,8671,13652,3,1000,121122,3,34,0,36,9,62,1019
itsecurity,8671,13652,3,1000,122132,2,48,2,48,2,9,9
itsecurity,8671,13652,3,1000,124134,1,46,2,46,2,294,294
itsecurity,8671,13652,3,5000,121322,8,2864,3,43,20,3,3129
itsecurity,8671,13652,3,5000,121232,7,290,1,24,0,41,4
itsecurity,8671,13652,3,5000,121312,6,22,3,0,102,0,30
itsecurity,8671,13652,3,5000,121132,5,202,2,152,1,325,252
itsecurity,8671,13652,3,5000,121212,4,0,0,0,0,2,0
itsecurity,8671,13652,3,5000,121122,3,192,0,140,9,242,3027
itsecurity,8671,13652,3,5000,122132,2,189,5,189,5,43,43
itsecurity,8671,13652,3,5000,124134,1,212,5,212,5,444,444
itsecurity,8671,13652,3,10000,121322,8,3398,3,50,34,8,3747
itsecurity,8671,13652,3,10000,121232,7,290,1,31,0,44,10
itsecurity,8671,13652,3,10000,121312,6,30,3,0,102,0,31
itsecurity,8671,13652,3,10000,121132,5,232,3,191,0,341,298
itsecurity,8671,13652,3,10000,121212,4,0,0,0,0,2,0
itsecurity,8671,13652,3,10000,121122,3,203,0,248,9,245,3486
itsecurity,8671,13652,3,10000,122132,2,238,5,238,5,56,56
itsecurity,8671,13652,3,10000,124134,1,267,5,267,5,488,488
itsecurity,8671,13652,3,30000,121322,8,6712,5,100,83,12,6734
itsecurity,8671,13652,3,30000,121232,7,373,1,55,0,49,13
itsecurity,8671,13652,3,30000,121312,6,33,5,0,160,0,59
itsecurity,8671,13652,3,30000,121132,5,538,3,444,0,397,325
itsecurity,8671,13652,3,30000,121212,4,0,0,0,0,2,0
itsecurity,8671,13652,3,30000,121122,3,356,0,538,45,251,5746
itsecurity,8671,13652,3,30000,122132,2,380,5,380,5,121,121
itsecurity,8671,13652,3,30000,124134,1,443,6,443,6,532,532
itsecurity,8671,13652,3,60000,121322,8,14146,5,133,116,12,11825
itsecurity,8671,13652,3,60000,121232,7,400,1,97,0,108,13
itsecurity,8671,13652,3,60000,121312,6,108,5,0,180,0,110
itsecurity,8671,13652,3,60000,121132,5,1287,3,1142,0,516,393
itsecurity,8671,13652,3,60000,121212,4,0,0,0,0,2,0
itsecurity,8671,13652,3,60000,121122,3,608,0,1229,62,278,10671
itsecurity,8671,13652,3,60000,122132,2,624,5,624,5,150,150
itsecurity,8671,13652,3,60000,124134,1,664,6,664,6,624,624
itsecurity,8671,13652,3,120000,121322,8,44568,14,300,216,23,35179
itsecurity,8671,13652,3,120000,121232,7,958,59,293,0,391,14
itsecurity,8671,13652,3,120000,121312,6,385,12,30,673,0,225
itsecurity,8671,13652,3,120000,121132,5,4925,70,4219,26,701,600
itsecurity,8671,13652,3,120000,121212,4,0,0,27,5,41,0
itsecurity,8671,13652,3,120000,121122,3,1985,0,3912,260,537,32847
itsecurity,8671,13652,3,120000,122132,2,1006,26,1006,26,221,221
itsecurity,8671,13652,3,120000,124134,1,1178,29,1178,29,756,756
